keyword,dizi,dizi_anahtar,kategori,tur,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi
for all mankind,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind dizi,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind dizisi,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind izle,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind türkçe dublaj izle,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind altyazılı izle,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind türkçe dublaj,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind dizi izle,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind full izle,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,İzleme,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind hangi platformda,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind nereden izlenir,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Platform,İzleme,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
for all mankind netflix,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Doğrulanacak,evet
for all mankind apple tv,For All Mankind,for all mankind,Drama,Alternate history science fiction,2019,5,Devam,Platform,İzleme,Dizi,,hayır,Platform Markalı,tr,Doğrulanacak,evet
